IN, OUT, FRAMES, TIMESTAMPS
preprocessed0C8B95-A57264-my.parquet, reg1, 3611 3762 3741 3869 3870 3885 4078 4406 4410 4411 11305 11310 11416 11598, 1746029455.2661085 1746029458.2779305 1746029457.9545407 1746029460.286562 1746029460.3519485 1746029460.599146 1746029463.7807558 1746029471.72429 1746029471.7636528 1746029471.7743402 1746029600.5536249 1746029600.695783 1746029603.4659522 1746029608.704673
preprocessed0C8B95-A570FC-my.parquet, reg1, 1591 1768 1751 1865 1868 1878 2045 2541 2543 2545 6402 6410 6578 6907, 1746029455.2894952 1746029458.272926 1746029457.9360988 1746029460.303265 1746029460.336076 1746029460.6119914 1746029463.7691925 1746029471.7188644 1746029471.7578485 1746029471.7913125 1746029600.509823 1746029600.673252 1746029603.4762158 1746029608.7308078
preprocessed0C8B95-A57B08-my.parquet, reg1, 2181 2361 2340 2497 2500 2514 2689 3204 3206 3207 12852 12866 13054 13422, 1746029455.2770374 1746029458.2902555 1746029457.9426005 1746029460.3088448 1746029460.3460226 1746029460.583381 1746029463.7759314 1746029471.7133524 1746029471.768845 1746029471.78711 1746029600.515674 1746029600.678578 1746029603.4712348 1746029608.720248
preprocessed0C8B95-A57264-my.parquet, reg2, 4982 4986 4988 5282 13578 13750 14133 14352 14337 14549, 1746029487.2690315 1746029487.3743951 1746029487.4258747 1746029496.6390977 1746029672.4763856 1746029676.6658092 1746029685.7202194 1746029690.4716446 1746029690.182967 1746029694.4858294
preprocessed0C8B95-A570FC-my.parquet, reg2, 3444 3450 3453 4009 11180 11522 12237 12590 12566 12883, 1746029487.2424746 1746029487.3592763 1746029487.4207969 1746029496.6232088 1746029672.4709768 1746029676.6543643 1746029685.731721 1746029690.487012 1746029690.1884687 1746029694.4752686
preprocessed0C8B95-A57B08-my.parquet, reg2, 4329 4334 4340 5030 17139 17325 17706 17912 17902 18088, 1746029487.263934 1746029487.3527122 1746029487.4109566 1746029496.6447875 1746029672.4813917 1746029676.660071 1746029685.7386715 1746029690.476477 1746029690.1941738 1746029694.480674
preprocessed0C8B95-A57264-my.parquet, reg3, 5586 5753 5768 6403 6409 20503 20503 20879 21058 21237 21224 21418 21426 21754 22192 22300, 1746029508.055285 1746029510.9358509 1746029511.2522194 1746029521.4436555 1746029521.5507195 1746029824.1040835 1746029824.1040835 1746029853.8721623 1746029857.613766 1746029861.781932 1746029861.3586562 1746029866.3271935 1746029866.4941485 1746029875.778783 1746029889.429381 1746029892.1361945
preprocessed0C8B95-A570FC-my.parquet, reg3, 4789 4954 4971 5448 5453 17229 17229 19398 19614 19882 19857 20238 20248 20897 21641 21815, 1746029508.0491233 1746029510.9469984 1746029511.281354 1746029521.418048 1746029521.5297625 1746029824.1560342 1746029824.1560342 1746029853.8837352 1746029857.6028795 1746029861.7487192 1746029861.3793714 1746029866.3168645 1746029866.5238032 1746029875.7840242 1746029889.3997495 1746029892.142625
preprocessed0C8B95-A57B08-my.parquet, reg3, 5861 6020 6040 6553 6561 25706 25706 27816 28024 28244 28225 28414 28427 28830 29882 30052, 1746029508.04443 1746029510.9583547 1746029511.2641375 1746029521.405681 1746029521.5458295 1746029824.161642 1746029824.161642 1746029853.8780148 1746029857.5971065 1746029861.7717557 1746029861.3644395 1746029866.321704 1746029866.4993875 1746029875.7891223 1746029889.3942814 1746029892.1478355
preprocessed0C8B95-A57264-my.parquet, reg4, 8241 8372 23327 23621 23795 24012 24045 24232 24207 24222 24369 24671 25049 25327 25470 25968 26129 26333, 1746029553.1916814 1746029556.1839051 1746029914.8417368 1746029935.3161216 1746029938.966297 1746029942.5402737 1746029943.0694065 1746029947.1425276 1746029946.3612747 1746029946.909593 1746029950.4437397 1746029957.9750445 1746029967.3582466 1746029974.4750707 1746029977.7577996 1746029989.0566254 1746029992.6924534 1746029996.6838884
preprocessed0C8B95-A570FC-my.parquet, reg4, 5731 5900 23122 24665 24887 25087 25107 25338 25294 25329 25504 25868 26249 26557 26751 27424 27659 27899, 1746029553.1866534 1746029556.1680696 1746029914.853368 1746029935.3062682 1746029938.9211686 1746029942.5109634 1746029943.0468998 1746029947.1253395 1746029946.402319 1746029946.899155 1746029950.427843 1746029957.9861758 1746029967.341697 1746029974.4863122 1746029977.740923 1746029989.0385942 1746029992.7146122 1746029996.713547
preprocessed0C8B95-A57B08-my.parquet, reg4, 8910 9115 31487 32975 33185 33363 33389 33626 33574 33607 33804 34238 34692 35074 35285 35956 36173 36397, 1746029553.197014 1746029556.162455 1746029914.8471818 1746029935.3112068 1746029938.931655 1746029942.5228171 1746029943.0647082 1746029947.1196885 1746029946.3958418 1746029946.8933566 1746029950.4383335 1746029957.9975617 1746029967.3483582 1746029974.480739 1746029977.75196 1746029989.0442178 1746029992.7270396 1746029996.7080898
preprocessed0C8B95-A57264-my-noise.parquet, noise, 4427 4693 4961 5526 5054 5493 5723 6085 6334 8637 8879 9096 9535 9860 10086 10241 11269 11596 13410 13915 14544 13654 13120 11006 24569 24272 24106, 1746028119.947296 1746028125.2056286 1746028130.5178666 1746028143.0772662 1746028132.258934 1746028142.5354714 1746028147.1047664 1746028155.8017144 1746028161.0098302 1746028210.0089684 1746028215.751213 1746028220.804717 1746028239.5327458 1746028247.2784696 1746028252.169579 1746028255.8867967 1746028277.3197637 1746028284.6710348 1746028321.6095226 1746028332.1195328 1746028347.1340802 1746028326.718758 1746028315.6707182 1746028271.791491 1746028505.5596187 1746028500.7284093 1746028497.4047632
preprocessed0C8B95-A57B08-my-noise.parquet, noise, 4737 5036 5242 6036 5349 6000 6286 6920 7241 10732 11027 11312 12705 13178 13446 13687 15075 15512 17934 18553 19455 18226 17597 14756 30167 29900 29688, 1746028119.9142554 1746028125.1999588 1746028130.511922 1746028143.0718384 1746028132.2543054 1746028142.5470865 1746028147.088285 1746028155.7697446 1746028160.9934254 1746028210.0207405 1746028215.7678115 1746028220.8283963 1746028239.5217528 1746028247.2728715 1746028252.1751935 1746028255.9089408 1746028277.2801588 1746028284.6940289 1746028321.6041698 1746028332.1481452 1746028347.1288188 1746028326.713314 1746028315.6761966 1746028271.8032808 1746028505.5658824 1746028500.7229311 1746028497.3989563
preprocessed0C8B95-A570FC-my-noise.parquet, noise, 6013 6321 6699 7403 6787 7382 7630 8053 8348 9551 9933 10270 11504 11998 12314 12538 13636 14103 15819 16441 17307 16131 15476 13314 18657 18410 18239, 1746028119.9203331 1746028125.2170386 1746028130.5011537 1746028143.1050785 1746028132.275909 1746028142.5793958 1746028147.0538807 1746028155.733991 1746028160.9725928 1746028210.0022917 1746028215.7396598 1746028220.8531947 1746028239.5511 1746028247.2677934 1746028252.1641212 1746028255.9149425 1746028277.307741 1746028284.688799 1746028321.5868585 1746028332.153371 1746028347.117514 1746028326.698016 1746028315.647562 1746028271.7985008 1746028505.57647 1746028500.6998088 1746028497.4168224
